"_id__$oid","parentIds__-","title","description","createdDate","dates__due","dates__start","dates__type","status","authorIds___id__$oid","authorIds__name","authorIds__email","authorIds__username","authorIds__password","authorIds____v","authorIds__firstname","authorIds__lastname","authorIds__title","authorIds__-","dependencyIds____-","dependencyIds","parentFolderIds__$oid","user__$oid","__v","roles____001","roles____002","roles____003","roles","attachents"
"5a5886c8a27c2103ff73f08b","","Provide Instruction for UI AssetUpdating","Have we provided instruction on how to update the user interface(UI)?","2018-01-12T09:58","13/03/2019","07/02/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f07a","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f08c","","UIAssetReceivedandUploaded","Have we received and uploaded the UI assets?","2018-01-12T09:58","12/03/2019","07/02/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f07a","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f08d","","Set UI Default Copy-TBD as Applicable","Have we setup the default copy in the UI?","2018-01-12T09:58","22/03/2019","01/03/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f07a","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f08e","","Provide Instruction for UI Copy Editing","Have we sent instructions on how to edit the copy with in the UI?","2018-01-12T09:58","26/03/2019","01/03/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f07a","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f08f","","Milestone: VerifyAlphaUIConfigComplete","Have we onfirmed that initial UI configuration is complete?","2018-01-12T09:58","13/03/2019","01/03/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f07a","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f093","","Milestone-ELVT-provide url list for white labeling to IT/Security Contact","Have we provided a list of items that will need to be digitally white labeled?","2018-01-12T09:58","14/01/2019","14/01/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f079","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f094","","Onsite Testing (asnecessary ONLY)","Have we gone on site to test the app?","2018-01-12T09:58","01/03/2019","09/01/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f079","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f095","","Wi-Fi Network(1)","","2018-01-12T09:58","28/02/2019","09/01/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f079","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f096","","Wi-Fi Network(2)","","2018-01-12T09:58","01/03/2019","10/01/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f079","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f097","","Mobile GPS Resolution","","2018-01-12T09:58","28/02/2019","09/01/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f079","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f098","","URL Access","","2018-01-12T09:58","28/02/2019","09/01/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f079","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f099","","Corp Domain Access","","2018-01-12T09:58","01/03/2019","09/01/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f079","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f09a","","Corp EmlAccess","","2018-01-12T09:58","28/02/2019","09/01/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f079","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f09b","","Process TBD","TBD","2018-01-12T09:58","","","backlog","Active","59f77e492e7ceb2b6021e195","John","user1@gmail.com","user1","$2a$10$IviJ9KiBXzoEudXGDVYy.Otvnsyl8I6kIiaOOXB13lu0mZzilH4QW","0","Asher","Swing","","","","","5a5886c8a27c2103ff73f07d","59f77e492e7ceb2b6021e195","0","","","","",""
"5a5886c8a27c2103ff73f09f","","ELVT-F&B Management Training As Necessary","","2018-01-12T09:58","21/02/2019","07/02/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f07c","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f0a0","","ELVT-Verify F&B Management Docs/Training Complete","","2018-01-12T09:58","14/02/2019","07/02/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f07c","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f0a1","","ELVT-Facilities Training as Necessary","","2018-01-12T09:58","14/02/2019","07/02/2019","Planned","Active","","","","","","","","","","","","null","5a5886c8a27c2103ff73f07e","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f0a2","","ELVT-Facilities Training/Docs Complete","","2018-01-12T09:58","","","backlog","Active","59f77e492e7ceb2b6021e195","John","user1@gmail.com","user1","$2a$10$IviJ9KiBXzoEudXGDVYy.Otvnsyl8I6kIiaOOXB13lu0mZzilH4QW","0","Asher","Swing","","","","","5a5886c8a27c2103ff73f07e","59f77e492e7ceb2b6021e195","0","","","","",""
"5a5886c8a27c2103ff73f0a3","","ELVT-Verify LLComms Training/Docs Complete","","2018-01-12T09:58","21/02/2019","07/02/2019","Planned","Active","","","","","","","","","","KUADPLBL","","null","5a5886c8a27c2103ff73f080","59f77e492e7ceb2b6021e195","0","","","","null",""
"5a5886c8a27c2103ff73f0a4","","ELVT-Comms Training As Necessary","","2018-01-12T09:58","14/02/2019","07/02/2019","Planned","Active","","","","","","","","","","KUADPLBL","","null","5a5886c8a27c2103ff73f080","59f77e492e7ceb2b6021e195","0","","","","null",""
